ticker,passed,reason,close,sma10,sma50,sma200,macd,macd_signal,macd_hist,rsi14,volume,vol_avg20,volume_multiple,ref_high,require_52w_high
DJT,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,17.22,17.691,18.123,25.1849,-0.263635,-0.330259,0.066623,44.57,3984900.0,6019180.0,0.66,51.51,True
APPF,False,macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,274.79,269.8425,256.3329,236.1821,3.249225,6.017083,-2.767858,53.72,242100.0,432430.0,0.56,321.25,True
GOVX,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,0.757,0.7427,0.7636,1.4594,-0.004307,-0.013332,0.009025,51.39,380300.0,900150.0,0.42,8.35,True
DVLT,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,0.45,0.436,0.5984,1.072,-0.055068,-0.061773,0.006704,41.94,6496900.0,5041960.0,1.29,3.06,True
IAG,False,macd_not_bullish_cross;volume_below_threshold,8.83,8.273,7.444,6.445,0.372555,0.267775,0.10478,70.95,6137200.0,12688260.0,0.48,8.77,True
AGH,False,insufficient_history,,,,,,,,,,,,,
ATGL,False,macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,27.37,22.8645,22.0265,22.0099,1.31148,0.174643,1.136837,61.66,10400.0,10305.0,1.01,47.0,True
LQDA,False,price_not_above_all_smas;macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,26.25,26.391,17.803,14.8094,2.787444,2.608722,0.178722,70.64,2131700.0,3154990.0,0.68,27.72,True
PROK,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,2.35,2.362,2.324,1.5587,-0.070293,-0.01415,-0.056143,46.22,1121700.0,2431745.0,0.46,5.18,True
BKYI,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,0.75,0.765,0.7986,0.9886,-0.01252,-0.012957,0.000437,44.73,53300.0,154780.0,0.34,2.38,True
CRDO,False,macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,115.41,115.192,101.8536,68.7051,3.467958,5.010442,-1.542484,56.04,2159500.0,3984860.0,0.54,125.38,True
CRCL,False,insufficient_history,,,,,,,,,,,,,
APLD,False,macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,15.95,15.358,11.9346,8.7432,1.247951,1.195229,0.052722,64.93,23590900.0,35837795.0,0.66,16.34,True
